Learned weight vectors and counts:
w: [0. 0. 0. 0.], count: 1
w: [-3.9433278  -2.7391275  -2.8853788  -1.62288622], count: 5
w: [-3.8413878  -2.6288375  -3.1153788  -1.56349122], count: 3
w: [-3.8037508  -2.7111955  -3.0368358  -1.48896722], count: 16
w: [-4.1268008  -3.4325455  -1.8725058  -1.58358022], count: 12
w: [-4.0651488  -3.0431055  -2.3452558  -2.02306022], count: 39
w: [-4.0980688  -2.5975855  -2.8024358  -1.92418022], count: 3
w: [-3.9760888  -2.3877655  -3.1219758  -1.91133722], count: 3
w: [-3.9417488  -2.3753505  -3.1507088  -1.89668322], count: 2
w: [-3.9971038  -3.1676805  -2.4791488  -1.82228922], count: 14
w: [-3.9940819  -3.2728005  -2.3389088  -1.74492022], count: 37
w: [-4.0348859  -3.2185865  -2.3916338  -1.67906022], count: 8
w: [-4.1174869  -2.9224765  -2.5202738  -1.82553022], count: 16
w: [-3.9856569  -2.7323065  -2.8513838  -1.81902312], count: 6
w: [-3.7838869  -2.5524865  -3.1471938  -1.79803312], count: 4
w: [-4.0981169  -3.8561365  -1.5794638  -1.86419812], count: 22
w: [-4.1073363  -3.8168215  -1.6123098  -1.87799212], count: 2
w: [-3.9393463  -3.3961415  -2.0662898  -2.11730212], count: 7
w: [-4.0759463  -3.3777255  -1.9757508  -1.95924212], count: 14
w: [-4.2812363  -2.9938755  -2.0552948  -2.08062212], count: 41
w: [-4.0781363  -2.8086755  -2.3565048  -2.08032182], count: 7
w: [-4.0557043  -2.8608225  -2.3968908  -1.96015182], count: 21
w: [-4.0313103  -2.7134925  -2.5388108  -2.01868682], count: 3
w: [-3.9568823  -3.0907225  -2.3775008  -1.86114682], count: 4
w: [-3.9741783  -3.2088825  -2.2393208  -1.78778682], count: 8
w: [-3.7350083  -2.7532325  -2.7382008  -2.07765682], count: 46
w: [-3.6338383  -2.6630125  -2.9732608  -2.03494282], count: 36
w: [-3.4757383  -2.5761035  -3.2046408  -1.95253082], count: 12
w: [-3.4636123  -2.5537565  -3.2519678  -1.85550682], count: 39
w: [-3.3284323  -2.4478065  -3.4863378  -1.81550882], count: 3
w: [-3.4058933  -2.6354865  -3.2461078  -1.70231882], count: 4
w: [-3.3272033  -3.5921165  -2.8674378  -0.95197882], count: 8
w: [-3.3791533  -3.2657865  -3.1763878  -0.85348882], count: 17
w: [-3.6054033  -3.27572    -2.8951178  -0.80482682], count: 2
w: [-3.6383273  -2.8302     -3.3522978  -0.70594682], count: 57
w: [-4.0400573  -3.66143    -2.1068278  -0.84969682], count: 6
w: [-3.9345373  -3.54286    -2.3709378  -0.83866382], count: 23
w: [-3.8663573  -3.05782    -2.8922678  -1.44909382], count: 24
w: [-3.6469273  -2.60279    -3.3898678  -1.72163382], count: 3
w: [-3.8590273  -2.608378   -3.1949678  -1.58633382], count: 10
w: [-3.9250353  -2.930978   -2.8143878  -1.46797382], count: 31
w: [-3.9036043  -3.000507   -2.7266768  -1.43832082], count: 118
w: [-3.7546443  -2.657627   -3.1297668  -1.58091082], count: 24
w: [-3.5154743  -2.201977   -3.6286468  -1.87078082], count: 5
w: [-3.8121943  -3.530667   -2.2813768  -2.13349082], count: 20
w: [-3.7907633  -3.600196   -2.1936658  -2.10383782], count: 17
w: [-3.5889933  -3.420376   -2.4894758  -2.08284782], count: 3
w: [-3.5768673  -3.398029   -2.5368028  -1.98582382], count: 17
w: [-3.6176713  -3.343815   -2.5895278  -1.91996382], count: 1
w: [-4.2058513  -2.577975   -2.5339478  -2.21151382], count: 3
w: [-4.0838713  -2.368155   -2.8534878  -2.19867082], count: 11
w: [-3.9827013  -2.277935   -3.0885478  -2.15595682], count: 1
w: [-3.7796013  -2.092735   -3.3897578  -2.15565652], count: 2
w: [-3.9603613  -2.974045   -2.5188978  -2.17733852], count: 12
w: [-4.0123113  -2.647715   -2.8278478  -2.07884852], count: 14
w: [-3.9378833  -3.024945   -2.6665378  -1.92130852], count: 14
w: [-3.8315133  -2.655375   -3.0824778  -2.11509852], count: 33
w: [-3.6724733  -2.434165   -3.3943078  -2.12682352], count: 3
w: [-4.1210833  -3.763055   -1.6634378  -2.44876352], count: 2
w: [-4.0610333  -3.569785   -1.9923178  -2.48117852], count: 25
w: [-3.9590933  -3.459495   -2.2223178  -2.42178352], count: 14
w: [-3.9031543  -3.490535   -2.2040108  -2.37713052], count: 1
w: [-3.8688143  -3.47812    -2.2327438  -2.36247652], count: 3
w: [-3.8311773  -3.560478   -2.1542008  -2.28795252], count: 8
w: [-3.83130582 -3.546615   -2.1738518  -2.28713498], count: 5
w: [-3.91390682 -3.250505   -2.3024918  -2.43360498], count: 17
w: [-3.74059682 -2.855065   -2.7766118  -2.68377498], count: 32
w: [-3.74312822 -2.872448   -2.7879508  -2.56179498], count: 10
